record_id,category,component,owning_contract,current_level,evidence_state,trust_seam,target_cutover,rollback_double_trade,queued_work_direct_egress,operator_state_owner,decommission_criteria,authority_state
COMPLEXITY-005,COMPLEXITY_DECOMMISSION,Single credential-confined Egress Gateway,ADR-002-013,L1_SUBSTRATE_PLUS_SYNTHETIC_GATEWAY,EGRESS-EV 2 READY 11 NOT_IMPLEMENTED,Real credential custody QCC currentness network confinement and broker adapter absent,Accepted replacement single gateway handles exact send and independent out-of-band containment,Rollback selects exactly one gateway or no-send; no simultaneous credential/network route,Drain all attempts and reconcile Final Quantity; revoke old credentials endpoints imports and network paths,TBD-consolidated-operator-safety-state-owner,No unresolved attempt; replacement evidence and containment drill; negative proof for every old code credential route and network path,PROPOSED_Q6_NOT_GOVERNING
COMPLEXITY-006,COMPLEXITY_DECOMMISSION,Dual-control and governed single-operator re-arm,ADR-002-015,L1_SUBSTRATE_NOT_HUMAN_AUTHORITY,HAG-EV 8 READY 10 NOT_IMPLEMENTED,Real identities conflict graph attestation custody and revocation service absent,Accepted human-authority replacement preserves distinctness exact scope and governed reduced single-operator variant,Rollback revokes all scope and leaves system halted rather than self-rearm,Invalidate outstanding approvals delegations break-glass and re-arm work; mechanism has no direct egress,TBD-consolidated-operator-safety-state-owner,No outstanding approval/delegation; replacement authority/revocation evidence; operator decision and independent review complete,PROPOSED_Q6_NOT_GOVERNING
COMPLEXITY-007,COMPLEXITY_DECOMMISSION,Recovery Barrier and monotone generation,ADR-002-017,L1_SUBSTRATE_NOT_RECOVERY_COORDINATOR,SBR-EV 5 READY 7 NOT_IMPLEMENTED,Broker reconciliation authority generation store and live re-arm integration absent,Accepted replacement barrier requires complete reconciliation and a new monotone generation,Rollback stays halted and never maps health/reconnect to permission,Invalidate old recovery tokens generations and queued work; direct egress remains fenced until new authorization,TBD-consolidated-operator-safety-state-owner,No recovery in progress; all effects reconciled; replacement non-revival and partition tests pass; old generations denied,PROPOSED_Q6_NOT_GOVERNING
COMPLEXITY-008,COMPLEXITY_DECOMMISSION,Incident deviation and monitoring generation fencing,ADR-002-026/027/028,L1_SUBSTRATES_NOT_OWNING_SERVICES,SIR/WDR/STM mixed READY and NOT_IMPLEMENTED,Three owning services and consolidated operator view absent,Accepted replacements preserve monotone generation across incident waiver telemetry closure and economic continuity,Rollback retains restrictive generation floor and cannot revive closed state,Invalidate every dependent approval proposal and queued send; remove old state consumers only after generation coverage proof,TBD-consolidated-operator-safety-state-owner,All incidents deviations monitor effects and economic obligations closed/transferred; replacements deny every stale-generation replay,PROPOSED_Q6_NOT_GOVERNING
READ-001,BROKER_READ_SITE,scripts/backfill_market_structure.py Phase-0 market-structure daily backfill,RFC-002 section 10 market-data ingress and ADR-002-018 Critical Input provenance,OPERATOR_CLI_HISTORICAL_READ_NO_ORDER_EGRESS,OUTSIDE_TOS_EVIDENCE,"Builds a KISClient from the futures auth config and pulls historical close rows (get_kospi200_futures, KIS FHPPG04600001 date ranges); operator-invocable via `if __name__ == ""__main__""` but constructs no OrderExecutor",Reads move to an accepted TOS market-data ingress when one exists; no cutover is claimed scheduled or authorized by this row,No order egress exists here; this site constructs no ORDER_SENDER and can double-trade nothing. Registering it exempts the warning tier only,No order work is queued or drained here; retire the direct broker read route only after an accepted TOS ingress owns it,TBD-consolidated-operator-safety-state-owner,"Accepted TOS market-data ingress owns this read with provenance evidence; the construction site and its credential route are removed. Promotion condition: if this file ever constructs an ORDER_SENDER inside an invocable entrypoint the fail-closed census tier fires, because BROKER_READ_SITE carries no fail-closed exemption. One-shot backfill; reruns are idempotent over the Parquet dataset",NON_AUTHORIZING_OPEN
READ-002,BROKER_READ_SITE,scripts/analysis/phase0_kis_probes.py Phase-0 residual REAL-token TR probes,RFC-002 section 10 market-data ingress and ADR-002-018 Critical Input provenance,OPERATOR_CLI_REAL_TOKEN_READ_PROBE_NO_ORDER_EGRESS,OUTSIDE_TOS_EVIDENCE,"Builds a KISClient and issues three REST reads (get_current_price) against a real token to answer deferred roadmap questions; operator-invocable entrypoint, no OrderExecutor",Reads move to an accepted TOS market-data ingress when one exists; no cutover is claimed scheduled or authorized by this row,No order egress exists here; this site constructs no ORDER_SENDER and can double-trade nothing. Registering it exempts the warning tier only,No order work is queued or drained here; retire the direct broker read route only after an accepted TOS ingress owns it,TBD-consolidated-operator-safety-state-owner,"Accepted TOS market-data ingress owns this read with provenance evidence; the construction site and its credential route are removed. Promotion condition: if this file ever constructs an ORDER_SENDER inside an invocable entrypoint the fail-closed census tier fires, because BROKER_READ_SITE carries no fail-closed exemption. Probe reads are GET-only; P0-2 measurement status is owned elsewhere and is not claimed by this row",NON_AUTHORIZING_OPEN
READ-003,BROKER_READ_SITE,services/screener.py stock universe screener,RFC-002 section 10 market-data ingress and ADR-002-018 Critical Input provenance,SERVICE_RANKING_READ_NO_ORDER_EGRESS,OUTSIDE_TOS_EVIDENCE,"Builds a KISClient only when trend confirmation is enabled and reads ranking APIs and get_minute_bars to publish a universe to Redis; service entrypoint, no OrderExecutor",Reads move to an accepted TOS market-data ingress when one exists; no cutover is claimed scheduled or authorized by this row,No order egress exists here; this site constructs no ORDER_SENDER and can double-trade nothing. Registering it exempts the warning tier only,No order work is queued or drained here; retire the direct broker read route only after an accepted TOS ingress owns it,TBD-consolidated-operator-safety-state-owner,"Accepted TOS market-data ingress owns this read with provenance evidence; the construction site and its credential route are removed. Promotion condition: if this file ever constructs an ORDER_SENDER inside an invocable entrypoint the fail-closed census tier fires, because BROKER_READ_SITE carries no fail-closed exemption. Universe publication is advisory; no order path consumes it directly",NON_AUTHORIZING_OPEN
READ-004,BROKER_READ_SITE,services/market_ingest/main.py tick ingest daemon,RFC-002 section 10 market-data ingress and ADR-002-018 Critical Input provenance,SERVICE_TICK_FEED_READ_NO_ORDER_EGRESS,OUTSIDE_TOS_EVIDENCE,"Builds a KISClient and uses get_current_price as the REST price fetcher beside the WebSocket feed, republishing ticks to the Redis stream and nothing else; service entrypoint, no OrderExecutor",Reads move to an accepted TOS market-data ingress when one exists; no cutover is claimed scheduled or authorized by this row,No order egress exists here; this site constructs no ORDER_SENDER and can double-trade nothing. Registering it exempts the warning tier only,No order work is queued or drained here; retire the direct broker read route only after an accepted TOS ingress owns it,TBD-consolidated-operator-safety-state-owner,"Accepted TOS market-data ingress owns this read with provenance evidence; the construction site and its credential route are removed. Promotion condition: if this file ever constructs an ORDER_SENDER inside an invocable entrypoint the fail-closed census tier fires, because BROKER_READ_SITE carries no fail-closed exemption. The daemon's own docstring scopes it to stream republication; order compute is downstream and separate",NON_AUTHORIZING_OPEN
READ-005,BROKER_READ_SITE,services/market_structure_collector/main.py cron market-structure collector,RFC-002 section 10 market-data ingress and ADR-002-018 Critical Input provenance,SERVICE_CRON_SNAPSHOT_READ_NO_ORDER_EGRESS,OUTSIDE_TOS_EVIDENCE,"Builds a KISClient from the futures auth config and reads get_current_price plus KIS snapshot TRs in KST-native cron modes; service entrypoint, no OrderExecutor",Reads move to an accepted TOS market-data ingress when one exists; no cutover is claimed scheduled or authorized by this row,No order egress exists here; this site constructs no ORDER_SENDER and can double-trade nothing. Registering it exempts the warning tier only,No order work is queued or drained here; retire the direct broker read route only after an accepted TOS ingress owns it,TBD-consolidated-operator-safety-state-owner,"Accepted TOS market-data ingress owns this read with provenance evidence; the construction site and its credential route are removed. Promotion condition: if this file ever constructs an ORDER_SENDER inside an invocable entrypoint the fail-closed census tier fires, because BROKER_READ_SITE carries no fail-closed exemption. Cron-scheduled one-shot modes; writes structure rows, sends nothing",NON_AUTHORIZING_OPEN
READ-006,BROKER_READ_SITE,services/stock_strategy/main.py flag-gated stock strategy daemon,RFC-002 section 10 market-data ingress and ADR-002-018 Critical Input provenance,SERVICE_STRATEGY_READ_DEFAULT_OFF_NO_ORDER_EGRESS,OUTSIDE_TOS_EVIDENCE,"Builds a KISClient for market reads inside a default-off daemon (STOCK_STRATEGY_DAEMON must be set to shadow or live); service entrypoint, no OrderExecutor in this file",Reads move to an accepted TOS market-data ingress when one exists; no cutover is claimed scheduled or authorized by this row,No order egress exists here; this site constructs no ORDER_SENDER and can double-trade nothing. Registering it exempts the warning tier only,No order work is queued or drained here; retire the direct broker read route only after an accepted TOS ingress owns it,TBD-consolidated-operator-safety-state-owner,"Accepted TOS market-data ingress owns this read with provenance evidence; the construction site and its credential route are removed. Promotion condition: if this file ever constructs an ORDER_SENDER inside an invocable entrypoint the fail-closed census tier fires, because BROKER_READ_SITE carries no fail-closed exemption. Order emission for this pipeline belongs to the separate order-router service, not this construction site",NON_AUTHORIZING_OPEN
READ-007,BROKER_READ_SITE,services/trading/market_data_bootstrap.py orchestrator market-data bootstrap helper,RFC-002 section 10 market-data ingress and ADR-002-018 Critical Input provenance,IN_PROCESS_BOOTSTRAP_READ_NO_ORDER_EGRESS,OUTSIDE_TOS_EVIDENCE,"Builds a KISClient inside a helper used by the trading orchestrator to seed market data; library module with no `if __name__ == ""__main__""` guard, no OrderExecutor",Reads move to an accepted TOS market-data ingress when one exists; no cutover is claimed scheduled or authorized by this row,No order egress exists here; this site constructs no ORDER_SENDER and can double-trade nothing. Registering it exempts the warning tier only,No order work is queued or drained here; retire the direct broker read route only after an accepted TOS ingress owns it,TBD-consolidated-operator-safety-state-owner,"Accepted TOS market-data ingress owns this read with provenance evidence; the construction site and its credential route are removed. Promotion condition: if this file ever constructs an ORDER_SENDER inside an invocable entrypoint the fail-closed census tier fires, because BROKER_READ_SITE carries no fail-closed exemption. The orchestrator's own order routes are registered separately as LEGACY-001 and LEGACY-002; this helper is the read seam only",NON_AUTHORIZING_OPEN
READ-008,BROKER_READ_SITE,shared/llm/unified_trading_analyzer.py LLM analyzer facade,RFC-002 section 10 market-data ingress and ADR-002-018 Critical Input provenance,IN_PROCESS_ANALYSIS_READ_NO_ORDER_EGRESS,OUTSIDE_TOS_EVIDENCE,"Builds a KISClient alongside KRX and DART collectors to assemble analysis context (get_stock_history, get_stock_info, get_corp_code); library facade with no `__main__` guard, no OrderExecutor",Reads move to an accepted TOS market-data ingress when one exists; no cutover is claimed scheduled or authorized by this row,No order egress exists here; this site constructs no ORDER_SENDER and can double-trade nothing. Registering it exempts the warning tier only,No order work is queued or drained here; retire the direct broker read route only after an accepted TOS ingress owns it,TBD-consolidated-operator-safety-state-owner,"Accepted TOS market-data ingress owns this read with provenance evidence; the construction site and its credential route are removed. Promotion condition: if this file ever constructs an ORDER_SENDER inside an invocable entrypoint the fail-closed census tier fires, because BROKER_READ_SITE carries no fail-closed exemption. Produces analysis context only; any downstream action passes through a separate registered route",NON_AUTHORIZING_OPEN
MOCK-001,MOCK_CONFINED_ORDER_SITE,shared/execution/mock_mirror.py mock-confined paper order mirror,RFC-002 section 10.7/10.8 and ADR-002-004 section 8.2 Submission Idempotency,IN_PROCESS_MOCK_ORDER_SENDER_NON_ENTRYPOINT,OUTSIDE_TOS_EVIDENCE,"Constructs a real OrderExecutor at shared/execution/mock_mirror.py:71 with trading_mode=""MOCK"" and mirrors paper fills to the KIS mock account; stock only, because the futures branch logs and returns False before any construction; class MockAccountMirror is invoked in-process by the paper loop and the file carries no `if __name__ == ""__main__""` guard, so it is not an operator- or service-invocable entrypoint and the fail-closed census tier does not fire on it today",Paper-fill mirroring moves to an accepted TOS path or is withdrawn; no cutover is claimed scheduled or authorized by this row,"Mirrored sends reach the KIS mock account only; a real-account double trade is not reachable from this site, and a mock-side duplicate is bounded by the paper loop that calls it","Mirror sends are fire-and-forget and swallow exceptions by design, so no queue is drained here; remove the OrderExecutor construction and credential route before retiring the mirror contract",TBD-consolidated-operator-safety-state-owner,"Paper mirroring is owned by an accepted TOS path or withdrawn, and this construction site plus its credential route are removed. Promotion condition and load-bearing invariant: the non-entrypoint property is the only reason the fail-closed tier is silent here, so MOCK_CONFINED_ORDER_SITE carries no fail-closed exemption - adding an `if __name__ == ""__main__""` guard, or any other invocable entrypoint around this OrderExecutor, makes the census fail closed",NON_AUTHORIZING_OPEN
